Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Rarely,384,Sales,8,4,Life Sciences,805,1,Female,72,3,1,Sales Representative,4,Married,2572,20317,1,No,16,3,2,1,3,1,2,3,2,0,2
24,No,Travel_Frequently,897,Human Resources,10,3,Medical,1746,1,Male,59,3,1,Human Resources,4,Married,2145,2097,0,No,14,3,4,1,3,2,3,2,2,2,1
46,No,Travel_Rarely,1277,Sales,2,3,Life Sciences,1732,3,Male,74,3,3,Sales Executive,4,Divorced,10368,5596,4,Yes,12,3,2,1,13,5,2,10,6,0,3
35,No,Travel_Rarely,185,Research & Development,23,4,Medical,1826,2,Male,91,1,1,Laboratory Technician,3,Married,2705,9696,0,No,16,3,2,1,6,2,4,5,4,0,3
34,No,Travel_Rarely,254,Research & Development,1,2,Life Sciences,649,2,Male,83,2,1,Research Scientist,4,Married,3622,22794,1,Yes,13,3,4,1,6,3,3,6,5,1,3
50,No,Travel_Rarely,328,Research & Development,1,3,Medical,249,3,Male,86,2,1,Laboratory Technician,3,Married,3690,3425,2,No,15,3,4,1,5,2,2,3,2,0,2
36,No,Non-Travel,1105,Research & Development,24,4,Life Sciences,419,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,No,15,3,3,1,11,3,3,9,8,0,8
35,No,Travel_Rarely,195,Sales,1,3,Medical,620,1,Female,80,3,2,Sales Executive,3,Single,4859,6698,1,No,16,3,4,0,5,3,3,5,4,0,3
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,374,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Yes,14,3,3,0,37,2,3,36,10,4,13
41,No,Travel_Frequently,1200,Research & Development,22,3,Life Sciences,1392,4,Female,75,3,2,Research Scientist,4,Divorced,5467,13953,3,Yes,14,3,1,2,12,4,2,6,2,3,3
36,No,Travel_Rarely,1041,Human Resources,13,3,Human Resources,829,3,Male,36,3,1,Human Resources,2,Married,2143,25527,4,No,13,3,2,1,8,2,3,5,2,0,4
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8
48,No,Non-Travel,1262,Research & Development,1,4,Medical,1116,1,Male,35,4,4,Manager,4,Single,16885,16154,2,No,22,4,3,0,27,3,2,5,4,2,1
40,No,Non-Travel,458,Research & Development,16,2,Life Sciences,1340,3,Male,74,3,1,Research Scientist,3,Divorced,3544,8532,9,No,16,3,2,1,6,0,3,4,2,0,0
