"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
33,"No","Travel_Frequently",1392,"Research & Development",3,4,"Life Sciences",4,"Female",56,3,1,"Research Scientist",3,"Married",2909,23159,1,"Yes",11,3,3,0,8,3,3,8,7,3,0
32,"No","Travel_Frequently",1005,"Research & Development",2,2,"Life Sciences",4,"Male",79,3,1,"Laboratory Technician",4,"Single",3068,11864,0,"No",13,3,3,0,8,2,2,7,7,3,6
31,"No","Travel_Rarely",670,"Research & Development",26,1,"Life Sciences",1,"Male",31,3,1,"Research Scientist",3,"Divorced",2911,15170,1,"No",17,3,4,1,5,1,2,5,2,4,3
22,"No","Non-Travel",1123,"Research & Development",16,2,"Medical",4,"Male",96,4,1,"Laboratory Technician",4,"Divorced",2935,7324,1,"Yes",13,3,2,2,1,2,2,1,0,0,0
34,"No","Travel_Rarely",419,"Research & Development",7,4,"Life Sciences",1,"Female",53,3,3,"Research Director",2,"Single",11994,21293,0,"No",11,3,3,0,13,4,3,12,6,2,11
33,"No","Travel_Rarely",924,"Research & Development",2,3,"Medical",3,"Male",78,3,1,"Laboratory Technician",4,"Single",2496,6670,4,"No",11,3,4,0,7,3,3,1,1,0,0
43,"No","Travel_Rarely",1273,"Research & Development",2,2,"Medical",4,"Female",72,4,1,"Research Scientist",3,"Divorced",2645,21923,1,"No",12,3,4,2,6,3,2,5,3,1,4
35,"No","Travel_Rarely",890,"Sales",2,3,"Marketing",4,"Female",97,3,1,"Sales Representative",4,"Married",2014,9687,1,"No",13,3,1,0,2,3,3,2,2,2,2
33,"No","Travel_Frequently",1141,"Sales",1,3,"Life Sciences",3,"Female",42,4,2,"Sales Executive",1,"Married",5376,3193,2,"No",19,3,1,2,10,3,3,5,3,1,3
35,"No","Travel_Rarely",464,"Research & Development",4,2,"Other",3,"Male",75,3,1,"Laboratory Technician",4,"Divorced",1951,10910,1,"No",12,3,3,1,1,3,3,1,0,0,0
35,"No","Travel_Rarely",1229,"Research & Development",8,1,"Life Sciences",4,"Male",36,4,1,"Laboratory Technician",4,"Married",2269,4892,1,"No",19,3,4,0,1,2,3,1,0,0,1
35,"No","Non-Travel",1097,"Research & Development",11,2,"Medical",3,"Male",79,2,3,"Healthcare Representative",1,"Married",9884,8302,2,"Yes",13,3,3,1,10,3,3,4,0,2,3
26,"No","Travel_Rarely",1443,"Sales",23,3,"Marketing",3,"Female",47,2,2,"Sales Executive",4,"Married",4157,21436,7,"Yes",19,3,3,1,5,2,2,2,2,0,0
35,"No","Travel_Rarely",1142,"Research & Development",23,4,"Medical",3,"Female",30,3,1,"Laboratory Technician",1,"Married",4014,16002,3,"Yes",15,3,3,1,4,3,3,2,2,2,2
37,"No","Travel_Rarely",1115,"Research & Development",1,4,"Life Sciences",1,"Male",51,2,2,"Manufacturing Director",3,"Divorced",5993,2689,1,"No",18,3,3,1,7,2,4,7,5,0,7
36,"No","Travel_Frequently",1195,"Research & Development",11,3,"Life Sciences",2,"Male",95,2,2,"Manufacturing Director",2,"Single",6499,22656,1,"No",13,3,3,0,6,3,3,6,5,0,3
45,"No","Travel_Rarely",1339,"Research & Development",7,3,"Life Sciences",2,"Male",59,3,3,"Research Scientist",1,"Divorced",9724,18787,2,"No",17,3,3,1,25,2,3,1,0,0,0
35,"No","Travel_Frequently",664,"Research & Development",1,3,"Medical",2,"Male",79,3,1,"Research Scientist",1,"Married",2194,5868,4,"No",13,3,4,1,5,2,2,3,2,1,2
59,"No","Travel_Frequently",1225,"Sales",1,1,"Life Sciences",1,"Female",57,2,2,"Sales Executive",3,"Single",5473,24668,7,"No",11,3,4,0,20,2,2,4,3,1,3
31,"No","Travel_Rarely",1082,"Research & Development",1,4,"Medical",3,"Male",87,3,1,"Research Scientist",2,"Single",2501,18775,1,"No",17,3,2,0,1,4,3,1,1,1,0
32,"No","Travel_Rarely",548,"Research & Development",1,3,"Life Sciences",2,"Male",66,3,2,"Research Scientist",2,"Married",6220,7346,1,"No",17,3,2,2,10,3,3,10,4,0,9
36,"No","Travel_Rarely",132,"Research & Development",6,3,"Life Sciences",2,"Female",55,4,1,"Laboratory Technician",4,"Married",3038,22002,3,"No",12,3,2,0,5,3,3,1,0,0,0
35,"No","Travel_Rarely",776,"Sales",1,4,"Marketing",3,"Male",32,2,2,"Sales Executive",1,"Single",4312,23016,0,"No",14,3,2,0,16,2,3,15,13,2,8
45,"No","Travel_Rarely",193,"Research & Development",6,4,"Other",4,"Male",52,3,3,"Research Director",1,"Married",13245,15067,4,"Yes",14,3,2,0,17,3,4,0,0,0,0
37,"No","Travel_Rarely",397,"Research & Development",7,4,"Medical",1,"Male",30,3,3,"Research Director",3,"Single",13664,25258,4,"No",13,3,1,0,16,3,4,5,2,0,2
30,"No","Travel_Rarely",852,"Research & Development",1,1,"Life Sciences",4,"Male",55,2,2,"Laboratory Technician",4,"Married",5126,15998,1,"Yes",12,3,3,2,10,1,2,10,8,3,0
35,"No","Travel_Rarely",1214,"Research & Development",1,3,"Medical",2,"Male",30,2,1,"Research Scientist",3,"Single",2859,26278,1,"No",18,3,1,0,6,3,3,6,4,0,4
55,"No","Travel_Rarely",111,"Sales",1,2,"Life Sciences",1,"Male",70,3,3,"Sales Executive",4,"Married",10239,18092,3,"No",14,3,4,1,24,4,3,1,0,1,0
34,"No","Travel_Rarely",1153,"Research & Development",1,2,"Medical",1,"Male",94,3,2,"Manufacturing Director",2,"Married",4325,17736,1,"No",15,3,3,0,5,2,3,5,2,1,3
23,"No","Travel_Rarely",541,"Sales",2,1,"Technical Degree",3,"Male",62,3,1,"Sales Representative",1,"Divorced",2322,9518,3,"No",13,3,3,1,3,3,3,0,0,0,0
28,"No","Non-Travel",120,"Sales",4,3,"Medical",2,"Male",43,3,2,"Sales Executive",3,"Married",4221,8863,1,"No",15,3,2,0,5,3,4,5,4,0,4
44,"No","Non-Travel",489,"Research & Development",23,3,"Medical",2,"Male",67,3,2,"Laboratory Technician",2,"Married",2042,25043,4,"No",12,3,3,1,17,3,4,3,2,1,2
32,"No","Travel_Rarely",827,"Research & Development",1,1,"Life Sciences",4,"Male",71,3,1,"Research Scientist",1,"Single",2956,15178,1,"No",13,3,4,0,1,2,3,1,0,0,0
34,"No","Travel_Rarely",665,"Research & Development",6,4,"Other",1,"Female",41,3,2,"Research Scientist",3,"Single",4809,12482,1,"No",14,3,3,0,16,3,3,16,13,2,10
37,"No","Non-Travel",1040,"Research & Development",2,2,"Life Sciences",3,"Male",100,2,2,"Healthcare Representative",4,"Divorced",5163,15850,5,"No",14,3,4,1,17,2,4,1,0,0,0
25,"No","Travel_Rarely",1280,"Research & Development",7,1,"Medical",4,"Male",64,2,1,"Research Scientist",4,"Married",2889,26897,1,"No",11,3,3,2,2,2,3,2,2,2,1
24,"No","Travel_Rarely",1127,"Research & Development",18,1,"Life Sciences",2,"Male",52,3,1,"Laboratory Technician",3,"Married",2774,13257,0,"No",12,3,3,1,6,2,3,5,3,1,2
34,"No","Travel_Rarely",1031,"Research & Development",6,4,"Life Sciences",3,"Female",45,2,2,"Research Scientist",2,"Divorced",4505,15000,6,"No",15,3,3,1,12,3,3,1,0,0,0
37,"No","Travel_Rarely",1189,"Sales",3,3,"Life Sciences",3,"Male",87,3,3,"Sales Executive",4,"Single",7428,14506,2,"No",12,3,1,0,12,3,3,5,3,1,3
33,"No","Non-Travel",750,"Sales",22,2,"Marketing",3,"Male",95,3,2,"Sales Executive",2,"Married",6146,15480,0,"No",13,3,1,1,8,2,4,7,7,0,7
26,"No","Travel_Rarely",841,"Research & Development",6,3,"Other",3,"Female",46,2,1,"Research Scientist",2,"Married",2368,23300,1,"No",19,3,3,0,5,3,2,5,4,4,3
22,"No","Travel_Rarely",594,"Research & Development",2,1,"Technical Degree",3,"Male",100,3,1,"Laboratory Technician",4,"Married",2523,19299,0,"No",14,3,3,1,3,2,3,2,1,2,1
